person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,OTHER,OWN,RENT,EDUCATION,HOMEIMPROVEMENT,MEDICAL,PERSONAL,VENTURE,B,C,D,E,F,G,Y
90000,OWN,6.0,VENTURE,A,7.14,0,0.08,N,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
69383,MORTGAGE,6.0,PERSONAL,C,,0,0.12,Y,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
58750,MORTGAGE,6.0,HOMEIMPROVEMENT,D,15.33,0,0.1,Y,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
30000,RENT,1.0,EDUCATION,B,10.59,0,0.1,N,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
25000,RENT,4.0,DEBTCONSOLIDATION,B,11.26,1,0.34,N,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
55000,RENT,0.0,PERSONAL,D,16.29,1,0.15,Y,8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
20000,MORTGAGE,2.0,MEDICAL,B,10.65,0,0.32,N,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
85000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,6.76,0,0.06,N,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351699,RENT,7.0,HOMEIMPROVEMENT,D,15.7,0,0.03,N,9,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
55000,MORTGAGE,4.0,PERSONAL,A,7.66,0,0.09,N,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59000,OTHER,3.0,HOMEIMPROVEMENT,D,,1,0.2,Y,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
95000,RENT,0.0,PERSONAL,B,10.0,0,0.18,N,15,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
140000,MORTGAGE,6.0,MEDICAL,A,7.51,0,0.09,N,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50004,RENT,6.0,EDUCATION,D,15.21,0,0.2,N,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
36000,RENT,7.0,VENTURE,B,,0,0.28,N,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
96384,MORTGAGE,6.0,VENTURE,B,10.25,0,0.19,N,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
48000,RENT,0.0,VENTURE,C,13.22,0,0.21,N,16,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
48000,RENT,3.0,EDUCATION,B,11.49,0,0.11,N,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
65000,RENT,1.0,EDUCATION,B,9.99,0,0.15,N,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
75288,MORTGAGE,12.0,MEDICAL,B,10.0,0,0.24,N,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
151000,MORTGAGE,5.0,VENTURE,B,11.12,0,0.05,N,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
83004,MORTGAGE,6.0,HOMEIMPROVEMENT,A,,0,0.18,N,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21600,OWN,5.0,PERSONAL,A,7.9,0,0.23,N,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
72000,RENT,5.0,MEDICAL,B,11.83,0,0.28,N,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
50000,RENT,6.0,EDUCATION,A,7.88,0,0.2,N,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
33000,RENT,1.0,DEBTCONSOLIDATION,B,10.25,0,0.15,N,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
39689,OWN,1.0,VENTURE,C,13.57,0,0.33,Y,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
51420,RENT,6.0,PERSONAL,C,11.97,0,0.16,Y,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
35000,MORTGAGE,13.0,MEDICAL,A,,0,0.06,N,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126400,MORTGAGE,0.0,DEBTCONSOLIDATION,B,10.38,0,0.1,N,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31356,MORTGAGE,6.0,DEBTCONSOLIDATION,D,,1,0.36,Y,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
60000,MORTGAGE,6.0,VENTURE,A,5.42,0,0.17,N,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150000,MORTGAGE,16.0,PERSONAL,A,7.49,0,0.04,N,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68000,MORTGAGE,6.0,VENTURE,A,7.88,0,0.19,N,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36200,RENT,2.0,DEBTCONSOLIDATION,B,,0,0.1,N,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24044,RENT,2.0,PERSONAL,A,8.9,0,0.21,N,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
21120,MORTGAGE,3.0,DEBTCONSOLIDATION,D,16.89,1,0.08,Y,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
87996,RENT,0.0,HOMEIMPROVEMENT,E,16.35,1,0.23,N,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
36000,RENT,1.0,MEDICAL,C,13.61,0,0.11,N,10,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
40000,RENT,6.0,VENTURE,A,5.42,0,0.07,N,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
200000,RENT,4.0,VENTURE,D,15.33,0,0.13,Y,7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
26400,RENT,2.0,PERSONAL,C,13.48,0,0.09,N,18,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
95000,MORTGAGE,1.0,EDUCATION,C,12.23,0,0.08,Y,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
35004,RENT,9.0,PERSONAL,E,,0,0.3,N,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
77078,MORTGAGE,1.0,DEBTCONSOLIDATION,B,12.18,0,0.04,N,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48000,RENT,0.0,DEBTCONSOLIDATION,B,11.26,0,0.27,N,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
45000,RENT,7.0,EDUCATION,A,6.62,0,0.22,N,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
19200,RENT,1.0,PERSONAL,A,5.99,1,0.1,N,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
14400,RENT,2.0,DEBTCONSOLIDATION,A,7.14,0,0.08,N,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54000,MORTGAGE,5.0,PERSONAL,A,5.42,0,0.2,N,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70000,RENT,6.0,VENTURE,E,16.35,0,0.21,Y,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
63000,MORTGAGE,5.0,VENTURE,E,,0,0.08,Y,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
45000,MORTGAGE,4.0,MEDICAL,A,6.99,0,0.13,N,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96000,RENT,2.0,HOMEIMPROVEMENT,E,15.68,1,0.26,Y,4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
73008,MORTGAGE,2.0,EDUCATION,C,12.73,0,0.19,Y,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
81000,RENT,5.0,DEBTCONSOLIDATION,A,7.29,1,0.31,N,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48000,MORTGAGE,8.0,MEDICAL,A,5.42,0,0.09,N,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46000,MORTGAGE,6.0,PERSONAL,A,6.99,0,0.33,N,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50000,MORTGAGE,6.0,VENTURE,A,5.99,0,0.14,N,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100000,MORTGAGE,4.0,EDUCATION,A,,0,0.14,N,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38000,RENT,3.0,MEDICAL,E,17.56,1,0.08,N,15,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
125000,RENT,6.0,PERSONAL,A,6.76,0,0.04,N,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
32000,RENT,5.0,MEDICAL,A,9.63,1,0.14,N,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
35000,RENT,2.0,VENTURE,B,,0,0.17,N,9,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
36000,RENT,14.0,EDUCATION,C,13.72,0,0.19,N,8,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
55004,MORTGAGE,4.0,EDUCATION,D,14.74,0,0.17,Y,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
24000,RENT,0.0,VENTURE,A,8.9,0,0.21,N,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
61425,OWN,2.0,VENTURE,A,5.99,0,0.15,N,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
39520,RENT,0.0,VENTURE,B,11.89,0,0.16,N,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
49278,RENT,4.0,DEBTCONSOLIDATION,C,13.22,0,0.22,Y,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
46200,RENT,5.0,EDUCATION,B,12.42,0,0.13,N,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
72000,RENT,4.0,DEBTCONSOLIDATION,A,7.88,0,0.06,N,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38400,MORTGAGE,4.0,HOMEIMPROVEMENT,A,8.9,0,0.18,N,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,8.49,0,0.44,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,10.37,0,0.18,N,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
29000,OWN,1.0,VENTURE,C,12.87,0,0.22,Y,9,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
51684,RENT,8.0,PERSONAL,B,10.59,0,0.06,N,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
65004,OWN,1.0,HOMEIMPROVEMENT,C,12.09,0,0.18,N,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
79200,MORTGAGE,3.0,HOMEIMPROVEMENT,D,15.58,1,0.32,N,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
93600,MORTGAGE,0.0,DEBTCONSOLIDATION,A,,0,0.06,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34000,RENT,1.0,VENTURE,C,,1,0.28,N,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
25000,RENT,0.0,MEDICAL,A,7.29,1,0.4,N,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
76000,RENT,4.0,EDUCATION,A,7.9,0,0.16,N,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
93000,RENT,0.0,EDUCATION,B,9.99,0,0.13,N,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
30000,RENT,7.0,EDUCATION,B,9.7,0,0.12,N,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
25209,RENT,6.0,MEDICAL,C,,0,0.08,Y,13,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
57600,OWN,6.0,VENTURE,A,7.49,0,0.11,N,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
44900,RENT,12.0,MEDICAL,C,14.35,1,0.39,Y,10,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
58000,RENT,3.0,MEDICAL,B,12.18,0,0.1,N,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
30000,MORTGAGE,2.0,PERSONAL,A,7.9,0,0.07,N,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68000,RENT,1.0,DEBTCONSOLIDATION,C,14.26,0,0.15,N,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
84000,RENT,1.0,VENTURE,E,16.45,1,0.1,Y,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
60000,MORTGAGE,0.0,MEDICAL,A,,0,0.08,N,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67500,MORTGAGE,2.0,EDUCATION,B,11.71,0,0.21,N,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
47000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,7.66,0,0.13,N,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50000,MORTGAGE,0.0,PERSONAL,A,7.51,0,0.06,N,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48000,RENT,9.0,PERSONAL,A,6.92,0,0.1,N,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
30000,RENT,2.0,VENTURE,C,,1,0.33,N,7,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
53329,MORTGAGE,6.0,HOMEIMPROVEMENT,A,5.99,0,0.15,N,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66000,MORTGAGE,7.0,VENTURE,B,9.88,0,0.08,N,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
36000,RENT,4.0,VENTURE,B,9.63,1,0.42,N,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
55000,MORTGAGE,3.0,MEDICAL,B,9.91,0,0.09,N,14,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
50000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,14.26,0,0.07,N,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44000,OWN,10.0,PERSONAL,D,14.84,0,0.17,Y,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
36000,RENT,3.0,EDUCATION,C,,0,0.25,Y,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
54000,RENT,2.0,EDUCATION,C,15.23,1,0.24,N,9,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
93000,RENT,1.0,DEBTCONSOLIDATION,A,6.92,0,0.08,N,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62000,MORTGAGE,15.0,DEBTCONSOLIDATION,A,8.59,0,0.12,N,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58000,RENT,0.0,DEBTCONSOLIDATION,B,10.25,1,0.34,N,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
53000,RENT,0.0,EDUCATION,B,10.39,0,0.14,N,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
200000,MORTGAGE,2.0,PERSONAL,A,7.9,0,0.13,N,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12000,RENT,0.0,PERSONAL,C,13.57,1,0.08,N,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
50000,MORTGAGE,0.0,EDUCATION,A,5.79,0,0.26,N,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35000,RENT,0.0,DEBTCONSOLIDATION,D,16.77,1,0.2,N,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
62004,RENT,5.0,MEDICAL,A,7.49,1,0.31,N,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
60000,RENT,1.0,DEBTCONSOLIDATION,A,,0,0.1,N,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120000,MORTGAGE,0.0,VENTURE,A,6.03,0,0.1,N,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40000,MORTGAGE,3.0,MEDICAL,A,5.42,0,0.13,N,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75000,RENT,6.0,MEDICAL,A,7.9,0,0.23,N,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
72000,MORTGAGE,4.0,PERSONAL,D,16.32,0,0.21,Y,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
110000,MORTGAGE,9.0,PERSONAL,C,13.72,0,0.18,N,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
31000,RENT,1.0,EDUCATION,D,14.54,1,0.08,Y,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
35000,RENT,0.0,PERSONAL,A,8.9,0,0.14,N,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
35004,RENT,1.0,EDUCATION,B,,0,0.17,N,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
51600,OWN,8.0,VENTURE,C,12.87,0,0.39,N,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
43200,OWN,6.0,VENTURE,A,7.68,0,0.14,N,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
68000,MORTGAGE,8.0,MEDICAL,A,7.49,0,0.12,N,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50004,OWN,5.0,MEDICAL,B,10.37,0,0.2,N,10,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
40000,RENT,2.0,VENTURE,C,14.27,0,0.23,Y,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
96000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,13.72,0,0.08,N,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73073,MORTGAGE,8.0,VENTURE,A,5.79,0,0.06,N,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74880,MORTGAGE,5.0,PERSONAL,A,7.14,0,0.11,N,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122004,MORTGAGE,13.0,MEDICAL,A,8.59,0,0.08,N,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32400,RENT,0.0,MEDICAL,C,13.11,0,0.04,Y,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
35000,RENT,5.0,MEDICAL,A,8.94,0,0.26,N,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
55000,RENT,3.0,DEBTCONSOLIDATION,C,13.48,1,0.36,N,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
68004,MORTGAGE,15.0,MEDICAL,B,10.95,0,0.09,N,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
44000,RENT,1.0,EDUCATION,C,13.79,0,0.25,Y,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
65000,RENT,1.0,MEDICAL,A,5.42,0,0.06,N,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
75000,RENT,6.0,EDUCATION,A,7.29,0,0.2,N,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
30000,RENT,0.0,VENTURE,B,12.21,0,0.12,N,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
39000,RENT,6.0,MEDICAL,D,16.29,1,0.09,N,8,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
45000,RENT,0.0,MEDICAL,E,17.19,1,0.13,N,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
14500,RENT,1.0,EDUCATION,C,13.61,1,0.25,Y,7,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
24000,RENT,1.0,PERSONAL,E,18.39,1,0.08,Y,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
30000,RENT,0.0,DEBTCONSOLIDATION,G,20.52,1,0.27,N,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
45500,MORTGAGE,6.0,HOMEIMPROVEMENT,B,10.65,0,0.22,N,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
21600,RENT,1.0,VENTURE,B,9.83,1,0.42,N,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
125000,MORTGAGE,14.0,PERSONAL,B,,0,0.08,N,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
75000,RENT,13.0,VENTURE,F,21.74,0,0.2,Y,8,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
30000,RENT,3.0,EDUCATION,C,13.61,0,0.19,Y,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
30720,RENT,4.0,MEDICAL,A,7.9,0,0.08,N,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
78000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,10.99,0,0.12,N,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
42000,RENT,5.0,EDUCATION,C,12.99,0,0.24,Y,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
53004,RENT,3.0,DEBTCONSOLIDATION,D,15.28,1,0.26,Y,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
58200,MORTGAGE,2.0,DEBTCONSOLIDATION,B,,0,0.22,N,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45000,MORTGAGE,16.0,VENTURE,B,10.99,0,0.13,N,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
45000,OWN,0.0,EDUCATION,C,10.28,0,0.14,Y,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
63402,RENT,3.0,DEBTCONSOLIDATION,C,13.22,0,0.09,N,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22800,RENT,6.0,EDUCATION,B,10.99,1,0.44,N,17,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
36000,RENT,0.0,EDUCATION,C,13.16,1,0.04,Y,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
144000,MORTGAGE,13.0,VENTURE,A,6.62,0,0.11,N,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52000,RENT,0.0,PERSONAL,B,8.88,0,0.05,N,10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
22000,OWN,1.0,DEBTCONSOLIDATION,D,16.0,0,0.14,Y,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
50000,MORTGAGE,10.0,EDUCATION,C,13.49,0,0.2,Y,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
55000,RENT,4.0,VENTURE,B,12.42,0,0.27,N,10,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
59000,RENT,7.0,EDUCATION,C,12.29,1,0.34,N,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
57996,RENT,2.0,DEBTCONSOLIDATION,B,10.75,0,0.03,N,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
90000,MORTGAGE,12.0,EDUCATION,B,11.36,0,0.23,N,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
105500,RENT,6.0,EDUCATION,B,11.99,0,0.06,N,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
18008,RENT,1.0,MEDICAL,B,9.7,1,0.17,N,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
100000,MORTGAGE,2.0,MEDICAL,C,12.09,0,0.1,Y,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
65000,RENT,5.0,EDUCATION,C,12.84,0,0.23,Y,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
36000,RENT,20.0,VENTURE,C,14.27,1,0.34,N,16,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
